Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2015-01-01,BAFL,31.727272033691406,31.863636016845703,30.727272033691406,31.281818389892578,15.519512176513672,7011400
2015-01-02,BAFL,31.318180084228516,31.53636360168457,30.718181610107422,30.85454559326172,15.307531356811523,4321350
2015-01-05,BAFL,30.818180084228516,31.0,30.727272033691406,30.763635635375977,15.262428283691406,1452550
2015-01-06,BAFL,30.727272033691406,30.909090042114258,30.05454444885254,30.10909080505371,14.93769645690918,1999250
2015-01-07,BAFL,30.336362838745117,30.336362838745117,29.55454444885254,29.881818771362305,14.82494068145752,9076650
2015-01-08,BAFL,29.77272605895996,30.636362075805664,29.77272605895996,30.454544067382812,15.109082221984863,4160200
2015-01-09,BAFL,30.62727165222168,31.12727165222168,30.509090423583984,30.836362838745117,15.298511505126953,10967000
2015-01-12,BAFL,30.909090042114258,31.172727584838867,30.636362075805664,30.754545211791992,15.257919311523438,2295700
2015-01-13,BAFL,30.909090042114258,31.045454025268555,30.454544067382812,30.836362838745117,15.298511505126953,936100
2015-01-14,BAFL,30.909090042114258,30.990909576416016,30.509090423583984,30.709089279174805,15.235368728637695,1644500
2015-01-15,BAFL,30.636362075805664,30.909090042114258,30.636362075805664,30.690908432006836,15.226344108581543,937750
2015-01-16,BAFL,30.59090805053711,30.92727279663086,30.59090805053711,30.672727584838867,15.217327117919922,1141800
2015-01-19,BAFL,30.818180084228516,30.899999618530273,30.600000381469727,30.64545440673828,15.203795433044434,615450
2015-01-20,BAFL,30.5,30.899999618530273,30.336362838745117,30.727272033691406,15.244385719299316,1917850
2015-01-21,BAFL,30.563636779785156,31.409090042114258,30.563636779785156,31.12727165222168,15.442832946777344,4292200
2015-01-22,BAFL,30.909090042114258,31.09090805053711,30.636362075805664,30.89090919494629,15.325571060180664,2098800
2015-01-23,BAFL,30.563636779785156,30.700000762939453,30.545454025268555,30.636362075805664,15.199283599853516,349250
2015-01-26,BAFL,30.636362075805664,31.136362075805664,30.27272605895996,30.918180465698242,15.339102745056152,1681350
2015-01-27,BAFL,30.954544067382812,30.954544067382812,30.363636016845703,30.618181228637695,15.190260887145996,7463500
2015-01-28,BAFL,30.545454025268555,30.799999237060547,30.318180084228516,30.5,15.131631851196289,837100
2015-01-29,BAFL,30.51818084716797,30.89090919494629,30.23636245727539,30.381818771362305,15.073002815246582,2210450
2015-01-30,BAFL,30.636362075805664,31.0,30.363636016845703,30.68181800842285,15.221837997436523,11207900
2015-02-02,BAFL,30.899999618530273,31.0,30.59090805053711,30.690908432006836,15.226344108581543,2049300
2015-02-03,BAFL,30.89090919494629,30.89090919494629,30.472726821899414,30.636362075805664,15.199283599853516,1022450
