Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2015-01-01,UPFL,8764.2158203125,8764.2158203125,8764.2158203125,8764.2158203125,5278.0107421875,0
2015-01-02,UPFL,9202.4267578125,9202.4267578125,8663.3193359375,8663.3193359375,5217.24853515625,40
2015-01-05,UPFL,8783.955078125,8783.955078125,8783.955078125,8783.955078125,5289.8984375,20
2015-01-06,UPFL,8783.955078125,8783.955078125,8783.955078125,8783.955078125,5289.8984375,0
2015-01-07,UPFL,8783.955078125,8783.955078125,8783.955078125,8783.955078125,5289.8984375,0
2015-01-08,UPFL,8783.955078125,8783.955078125,8783.955078125,8783.955078125,5289.8984375,0
2015-01-09,UPFL,8400.037109375,8882.6416015625,8400.037109375,8882.6416015625,5349.3291015625,60
2015-01-12,UPFL,9080.0439453125,9080.0439453125,9080.0439453125,9080.0439453125,5468.20947265625,20
2015-01-13,UPFL,8709.9326171875,8774.0859375,8641.8427734375,8774.0859375,5283.955078125,81
2015-01-14,UPFL,8774.0859375,8774.0859375,8774.0859375,8774.0859375,5283.955078125,0
2015-01-15,UPFL,8538.2021484375,8586.5625,8507.6064453125,8507.6064453125,5123.4755859375,81
2015-01-16,UPFL,8214.0146484375,8295.4091796875,8214.0146484375,8292.9423828125,4994.20068359375,60
2015-01-19,UPFL,8684.2724609375,8684.2724609375,8684.2724609375,8684.2724609375,5229.8662109375,20
2015-01-20,UPFL,8684.2724609375,8684.2724609375,8684.2724609375,8684.2724609375,5229.8662109375,0
2015-01-21,UPFL,8684.2724609375,8684.2724609375,8684.2724609375,8684.2724609375,5229.8662109375,0
2015-01-22,UPFL,8586.5625,8586.5625,8586.5625,8586.5625,5171.0234375,20
2015-01-23,UPFL,8487.8671875,8487.8671875,8487.8671875,8487.8671875,5111.58740234375,60
2015-01-26,UPFL,8487.8671875,8487.8671875,8487.8671875,8487.8671875,5111.58740234375,0
2015-01-27,UPFL,8537.21484375,8537.21484375,8537.21484375,8537.21484375,5141.30615234375,20
2015-01-28,UPFL,8301.3310546875,8301.3310546875,8301.3310546875,8301.3310546875,4999.25,20
2015-01-29,UPFL,8301.3310546875,8301.3310546875,8301.3310546875,8301.3310546875,4999.25,0
2015-01-30,UPFL,8301.3310546875,8301.3310546875,8301.3310546875,8301.3310546875,4999.25,0
2015-02-02,UPFL,8301.3310546875,8301.3310546875,8301.3310546875,8301.3310546875,4999.25,0
2015-02-03,UPFL,8301.3310546875,8301.3310546875,8301.3310546875,8301.3310546875,4999.25,0
2015-02-04,UPFL,8290.474609375,8290.474609375,8290.474609375,8290.474609375,4992.712890625,20
2015-02-05,UPFL,8290.474609375,8290.474609375,8290.474609375,8290.474609375,4992.712890625,0
2015-02-06,UPFL,8290.474609375,8704.998046875,8290.474609375,8704.998046875,5242.34912109375,506
2015-02-09,UPFL,8685.2587890625,9140.248046875,8685.2587890625,9140.248046875,5504.4658203125,648
2015-02-10,UPFL,9563.654296875,9597.2607421875,9563.654296875,9597.2109375,5779.65966796875,141
2015-02-11,UPFL,9968.30859375,9968.30859375,9672.220703125,9672.220703125,5824.83154296875,141
2015-02-12,UPFL,9672.220703125,9672.220703125,9672.220703125,9672.220703125,5824.83154296875,0
2015-02-13,UPFL,9868.6259765625,10155.8310546875,9868.6259765625,9968.30859375,6003.1416015625,162
2015-02-16,UPFL,9968.30859375,9968.30859375,9968.30859375,9968.30859375,6003.1416015625,20
2015-02-17,UPFL,9968.30859375,9968.30859375,9968.30859375,9968.30859375,6003.1416015625,0
2015-02-18,UPFL,9968.30859375,9968.30859375,9968.30859375,9968.30859375,6003.1416015625,0
2015-02-19,UPFL,9529.111328125,9529.111328125,9469.8935546875,9469.8935546875,5702.98486328125,60
2015-02-20,UPFL,9469.8935546875,9469.8935546875,9469.8935546875,9469.8935546875,5702.98486328125,0
2015-02-23,UPFL,9109.65234375,9109.65234375,8996.3984375,8996.3984375,5417.8359375,101
2015-02-24,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,101
2015-02-25,UPFL,8981.34765625,8981.34765625,8981.34765625,8981.34765625,5408.7724609375,60
2015-02-26,UPFL,9326.7841796875,9326.7841796875,9326.7841796875,9326.7841796875,5616.80126953125,40
2015-02-27,UPFL,9326.7841796875,9326.7841796875,9326.7841796875,9326.7841796875,5616.80126953125,0
2015-03-02,UPFL,9326.7841796875,9326.7841796875,9326.7841796875,9326.7841796875,5616.80126953125,0
2015-03-03,UPFL,9326.7841796875,9326.7841796875,9326.7841796875,9326.7841796875,5616.80126953125,0
2015-03-04,UPFL,9326.7841796875,9326.7841796875,9326.7841796875,9326.7841796875,5616.80126953125,0
2015-03-05,UPFL,9326.7841796875,9326.7841796875,9326.7841796875,9326.7841796875,5616.80126953125,0
2015-03-06,UPFL,9287.3056640625,9770.916015625,9287.3056640625,9770.916015625,5884.26953125,81
2015-03-09,UPFL,10259.4619140625,10259.4619140625,9770.916015625,9868.6259765625,5943.111328125,121
2015-03-10,UPFL,9869.6123046875,9869.6123046875,9375.1943359375,9375.1943359375,5645.95458984375,182
2015-03-11,UPFL,9030.6953125,9030.6953125,8906.4375,8906.4375,5363.65869140625,40
2015-03-12,UPFL,8906.4375,8906.4375,8906.4375,8906.4375,5363.65869140625,0
2015-03-13,UPFL,8906.4375,8906.4375,8906.4375,8906.4375,5363.65869140625,0
2015-03-16,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,101
2015-03-17,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-18,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-19,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-20,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-23,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-24,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-25,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
2015-03-26,UPFL,8685.2587890625,8685.2587890625,8685.2587890625,8685.2587890625,5230.46142578125,0
