Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2015-01-01,NESTLE,9108.0,9125.0,9099.0,9108.0,5875.17138671875,80
2015-01-02,NESTLE,9200.0,9200.0,9050.0,9050.0,5837.75830078125,80
2015-01-05,NESTLE,9050.0,9050.0,9050.0,9050.0,5837.75830078125,0
2015-01-06,NESTLE,9200.0,9502.5,9200.0,9502.5,6129.64697265625,460
2015-01-07,NESTLE,9650.0,9977.6201171875,9575.0,9954.8095703125,6421.41015625,1020
2015-01-08,NESTLE,10300.0,10452.5498046875,10300.0,10452.5498046875,6742.48193359375,2320
2015-01-09,NESTLE,10600.0,10975.169921875,10600.0,10975.009765625,7079.49951171875,1120
2015-01-12,NESTLE,10800.0,10800.0,10700.0,10700.0,6902.10302734375,80
2015-01-13,NESTLE,10600.0,10601.0,10500.0,10601.0,6838.24072265625,120
2015-01-14,NESTLE,10601.0,10601.0,10601.0,10601.0,6838.24072265625,0
2015-01-15,NESTLE,10700.009765625,10999.0,10700.009765625,10999.0,7094.9736328125,1100
2015-01-16,NESTLE,10999.0,10999.0,10999.0,10999.0,7094.9736328125,0
2015-01-19,NESTLE,10500.0,10500.0,10500.0,10500.0,6773.09033203125,260
2015-01-20,NESTLE,10500.0,10500.0,10500.0,10500.0,6773.09033203125,0
2015-01-21,NESTLE,10202.0,10305.0,10202.0,10300.0,6644.0791015625,100
2015-01-22,NESTLE,10400.009765625,10400.009765625,10400.0,10400.0,6708.583984375,60
2015-01-23,NESTLE,10400.0,10400.0,10400.0,10400.0,6708.583984375,0
2015-01-26,NESTLE,10400.0,10920.0,10400.0,10400.0,6708.583984375,180
2015-01-27,NESTLE,10799.0,10919.0,10799.0,10919.0,7043.36767578125,100
2015-01-28,NESTLE,10919.0,10919.0,10919.0,10919.0,7043.36767578125,0
2015-01-29,NESTLE,10500.0,10500.0,10401.099609375,10470.0,6753.7392578125,100
2015-01-30,NESTLE,10070.0,10500.0,10070.0,10500.0,6773.09033203125,40
2015-02-02,NESTLE,10500.0,10500.0,10500.0,10500.0,6773.09033203125,0
2015-02-03,NESTLE,10500.0,10500.0,10500.0,10500.0,6773.09033203125,0
2015-02-04,NESTLE,10500.0,10600.0,10500.0,10600.0,6837.5947265625,180
2015-02-05,NESTLE,10600.0,10600.0,10600.0,10600.0,6837.5947265625,0
2015-02-06,NESTLE,10610.0,10610.0,10610.0,10610.0,6844.04541015625,40
2015-02-09,NESTLE,10600.0,10600.0,10600.0,10600.0,6837.5947265625,260
2015-02-10,NESTLE,10600.0,10600.0,10600.0,10600.0,6837.5947265625,0
2015-02-11,NESTLE,10650.0,10900.0,10650.0,10800.0,6966.6064453125,200
2015-02-12,NESTLE,10750.0,10750.0,10560.0,10560.0,6811.7939453125,60
2015-02-13,NESTLE,10560.0,10560.0,10560.0,10560.0,6811.7939453125,0
2015-02-16,NESTLE,10561.0,10561.0,10500.0,10530.5,6792.7646484375,780
2015-02-17,NESTLE,10531.5595703125,10600.0,10500.0,10500.0,6773.09033203125,1280
2015-02-18,NESTLE,10550.0,10550.0,10550.0,10550.0,6805.34375,40
