Date,Symbol,Open,High,Low,Close,Adj Close,Volume
2015-01-01,NRL,186.0,189.75,186.0,188.32000732421875,146.9626007080078,22900
2015-01-02,NRL,188.9499969482422,191.0,187.41000366210938,189.55999755859375,147.93026733398438,63900
2015-01-05,NRL,190.0,197.99000549316406,190.0,196.3800048828125,153.2525177001953,475500
2015-01-06,NRL,194.8000030517578,196.89999389648438,193.0,193.72000122070312,151.1766815185547,109500
2015-01-07,NRL,195.0,195.5,191.0,191.3800048828125,149.35055541992188,73000
2015-01-08,NRL,193.0,193.5,192.0,192.6999969482422,150.38070678710938,71300
2015-01-09,NRL,193.99000549316406,197.0,193.0,195.0800018310547,152.23802185058594,145100
2015-01-12,NRL,196.75,202.13999938964844,194.00999450683594,197.35000610351562,154.00949096679688,244600
2015-01-13,NRL,197.0,198.0,195.0,195.8000030517578,152.79989624023438,12400
2015-01-14,NRL,196.88999938964844,198.0,194.1999969482422,194.5800018310547,151.8478240966797,25900
2015-01-15,NRL,196.0,198.0,192.5,192.9199981689453,150.5523681640625,96700
2015-01-16,NRL,193.0,194.5,192.0800018310547,194.0399932861328,151.42640686035156,70400
2015-01-19,NRL,195.49000549316406,199.0,194.1999969482422,197.66000366210938,154.2514190673828,93100
2015-01-20,NRL,198.97000122070312,199.0,195.47999572753906,197.11000061035156,153.8221893310547,116800
2015-01-21,NRL,198.0,201.0,197.0,199.49000549316406,155.67953491210938,312700
2015-01-22,NRL,198.75,200.77000427246094,196.0,196.16000366210938,153.08082580566406,81800
2015-01-23,NRL,196.1999969482422,196.49000549316406,195.0,195.1999969482422,152.3316650390625,26900
2015-01-26,NRL,194.13999938964844,196.25,192.0,192.83999633789062,150.4899444580078,79400
2015-01-27,NRL,193.0,202.47999572753906,192.7100067138672,202.47999572753906,158.0128631591797,299900
2015-01-28,NRL,204.0,205.88999938964844,194.00999450683594,195.5399932861328,152.5970001220703,340700
2015-01-29,NRL,196.99000549316406,205.0,196.99000549316406,200.05999755859375,156.1243438720703,238200
2015-01-30,NRL,201.0,208.0,198.25,203.80999755859375,159.05079650878906,333500
2015-02-02,NRL,206.60000610351562,211.0,204.05999755859375,205.83999633789062,160.63497924804688,420000
2015-02-03,NRL,206.97999572753906,210.9499969482422,205.0,209.97999572753906,163.86578369140625,342200
2015-02-04,NRL,210.3300018310547,214.0,207.00999450683594,208.61000061035156,162.79666137695312,227000
2015-02-05,NRL,208.61000061035156,208.61000061035156,208.61000061035156,208.61000061035156,162.79666137695312,0
2015-02-06,NRL,208.00999450683594,210.13999938964844,205.1999969482422,206.05999755859375,160.80667114257812,45300
2015-02-09,NRL,207.0,208.8000030517578,203.0,203.63999938964844,158.91812133789062,46300
2015-02-10,NRL,205.25,210.5,205.0,209.3800048828125,163.39755249023438,261900
2015-02-11,NRL,208.25999450683594,211.0,206.00999450683594,207.3300018310547,161.79776000976562,57800
2015-02-12,NRL,206.5,208.60000610351562,200.60000610351562,201.5800018310547,157.31051635742188,135700
2015-02-13,NRL,203.47999572753906,204.0,202.0,203.00999450683594,158.42648315429688,89500
2015-02-16,NRL,203.0,204.5,202.5,203.27999877929688,158.63719177246094,15300
2015-02-17,NRL,203.5,207.5,203.0,203.64999389648438,158.92593383789062,24800
2015-02-18,NRL,207.0,207.0,202.5,202.77999877929688,158.24700927734375,10800
2015-02-19,NRL,202.02000427246094,204.0,202.02000427246094,203.0399932861328,158.44989013671875,22700
2015-02-20,NRL,202.5,204.39999389648438,202.02999877929688,202.97999572753906,158.40309143066406,41200
2015-02-23,NRL,203.5500030517578,205.0,203.0,204.2899932861328,159.4253692626953,19300
2015-02-24,NRL,203.5500030517578,204.39999389648438,203.0,203.00999450683594,158.42648315429688,39500
2015-02-25,NRL,203.5,203.5,203.0,203.0,158.41868591308594,17300
2015-02-26,NRL,203.0,205.0,203.0,203.27999877929688,158.63719177246094,22600
2015-02-27,NRL,204.0,204.0,202.0,202.02999877929688,157.6616973876953,23700
2015-03-02,NRL,201.5,201.89999389648438,198.0,199.00999450683594,155.30491638183594,18400
2015-03-03,NRL,200.0,202.0,197.0,200.5500030517578,156.50674438476562,19800
2015-03-04,NRL,202.0,205.0,200.0500030517578,203.39999389648438,158.73085021972656,52500
2015-03-05,NRL,203.60000610351562,204.0,201.0,202.80999755859375,158.27041625976562,15800
2015-03-06,NRL,202.11000061035156,202.5,200.0,201.1300048828125,156.95936584472656,35200
2015-03-09,NRL,202.0,202.89999389648438,200.10000610351562,200.47999572753906,156.4521026611328,11600
2015-03-10,NRL,200.0,203.0,200.0,201.4199981689453,157.1856689453125,20800
2015-03-11,NRL,200.5,203.5,200.0,202.91000366210938,158.3484649658203,26600
2015-03-12,NRL,203.8000030517578,203.9499969482422,202.00999450683594,202.63999938964844,158.1377410888672,10900
2015-03-13,NRL,203.0,205.74000549316406,203.0,203.63999938964844,158.91812133789062,11400
2015-03-16,NRL,204.0,204.0,201.0,201.3000030517578,157.092041015625,12700
2015-03-17,NRL,201.00999450683594,201.5,200.0,200.35000610351562,156.35067749023438,13400
2015-03-18,NRL,202.99000549316406,202.99000549316406,194.0,196.57000732421875,153.4008026123047,36600
2015-03-19,NRL,194.05999755859375,198.9499969482422,194.05999755859375,195.91000366210938,152.8857421875,10700
2015-03-20,NRL,198.9499969482422,201.0,192.10000610351562,194.99000549316406,152.1677703857422,40400
2015-03-23,NRL,194.99000549316406,194.99000549316406,194.99000549316406,194.99000549316406,152.1677703857422,0
2015-03-24,NRL,195.89999389648438,195.89999389648438,193.0,193.47999572753906,150.98936462402344,21400
2015-03-25,NRL,195.85000610351562,195.99000549316406,194.0,195.1699981689453,152.3082275390625,6400
2015-03-26,NRL,196.0,196.0,189.8000030517578,192.3300018310547,150.09194946289062,20100
2015-03-27,NRL,192.0,193.5,190.0,191.89999389648438,149.75637817382812,14300
2015-03-30,NRL,192.0,192.5,182.30999755859375,182.30999755859375,142.2724609375,62700
2015-03-31,NRL,180.0,191.4199981689453,180.0,190.89999389648438,148.97598266601562,11600
2015-04-01,NRL,191.10000610351562,194.97000122070312,189.0,191.9499969482422,149.79537963867188,37700
2015-04-02,NRL,192.99000549316406,197.97999572753906,192.89999389648438,196.85000610351562,153.6193084716797,32700
2015-04-03,NRL,194.0500030517578,203.0,194.0,201.27000427246094,157.06861877441406,62900
2015-04-06,NRL,202.0,205.39999389648438,198.0,203.58999633789062,158.87908935546875,89900
2015-04-07,NRL,205.0,205.0,200.5,200.97000122070312,156.83450317382812,31600
2015-04-08,NRL,202.89999389648438,203.0,198.0,199.9199981689453,156.01507568359375,44900
2015-04-09,NRL,201.0,209.25,199.00999450683594,207.66000366210938,162.0552978515625,102200
2015-04-10,NRL,209.99000549316406,214.97999572753906,209.99000549316406,214.14999389648438,167.12001037597656,216100
2015-04-13,NRL,214.99000549316406,224.25,214.99000549316406,219.1300048828125,171.00633239746094,765800
2015-04-14,NRL,218.6999969482422,221.0,213.0,218.3000030517578,170.35861206054688,229800
2015-04-15,NRL,221.5,223.39999389648438,213.0,221.05999755859375,172.51248168945312,186300
2015-04-16,NRL,223.0,224.39999389648438,219.0,220.52000427246094,172.091064453125,276700
2015-04-17,NRL,221.75,226.0,219.52999877929688,222.1999969482422,173.40211486816406,308000
2015-04-20,NRL,224.0,224.60000610351562,217.13999938964844,217.7100067138672,169.89817810058594,76000
2015-04-21,NRL,217.00999450683594,218.89999389648438,211.0,213.42999267578125,166.55812072753906,54300
2015-04-22,NRL,214.99000549316406,218.13999938964844,214.0,216.89999389648438,169.2660675048828,31800
2015-04-23,NRL,215.25,224.99000549316406,215.25,222.05999755859375,173.2928466796875,145700
2015-04-24,NRL,223.5,225.5,220.6199951171875,221.3000030517578,172.6997833251953,69700
2015-04-27,NRL,222.0,226.4499969482422,221.14999389648438,223.6999969482422,174.5727081298828,156200
2015-04-28,NRL,223.00999450683594,223.00999450683594,215.5,217.89999389648438,170.04644775390625,52000
2015-04-29,NRL,217.0,221.39999389648438,217.0,218.1300048828125,170.22593688964844,35500
2015-04-30,NRL,217.0500030517578,218.0,215.0,216.8800048828125,169.25045776367188,14800
2015-05-01,NRL,216.8800048828125,216.8800048828125,216.8800048828125,216.8800048828125,169.25045776367188,0
2015-05-04,NRL,217.99000549316406,221.5,217.0,219.07000732421875,170.95950317382812,26800
2015-05-05,NRL,217.00999450683594,222.0,217.0,219.97999572753906,171.66966247558594,74000
2015-05-06,NRL,221.5,223.49000549316406,220.13999938964844,221.74000549316406,173.0431365966797,88000
2015-05-07,NRL,220.00999450683594,222.0,219.5,220.97999572753906,172.45004272460938,9600
2015-05-08,NRL,219.10000610351562,220.5,218.0,218.86000061035156,170.79563903808594,10900
2015-05-11,NRL,217.00999450683594,219.0,213.5,214.00999450683594,167.01075744628906,27800
2015-05-12,NRL,214.99000549316406,217.99000549316406,214.5,216.5399932861328,168.98512268066406,42800
2015-05-13,NRL,216.10000610351562,217.5,212.5,213.41000366210938,166.5425262451172,35000
2015-05-14,NRL,215.47999572753906,217.39999389648438,213.60000610351562,215.5800018310547,168.2359619140625,38400
2015-05-15,NRL,215.0,215.0,211.0,211.50999450683594,165.05978393554688,23100
2015-05-18,NRL,212.0,221.6999969482422,211.5500030517578,215.0800018310547,167.84576416015625,135500
2015-05-19,NRL,215.22000122070312,217.49000549316406,214.00999450683594,214.24000549316406,167.19024658203125,12900
2015-05-20,NRL,214.0,215.5,213.00999450683594,213.5800018310547,166.67518615722656,3500
2015-05-21,NRL,213.5,214.5,213.10000610351562,214.5,167.39315795898438,2000
2015-05-22,NRL,215.0,222.0800018310547,215.0,217.0500030517578,169.38314819335938,54300
2015-05-25,NRL,219.5,219.5,216.0,216.00999450683594,168.57150268554688,34400
2015-05-26,NRL,215.5,215.5,215.5,215.5,168.1735076904297,1000
2015-05-27,NRL,216.49000549316406,217.0,216.0,216.61000061035156,169.03976440429688,24300
2015-05-28,NRL,217.0,217.75,215.22000122070312,216.8800048828125,169.25045776367188,11900
2015-05-29,NRL,216.1199951171875,218.10000610351562,215.0,215.17999267578125,167.92379760742188,30100
2015-06-01,NRL,215.5,216.5,215.10000610351562,215.6199951171875,168.2671661376953,14200
2015-06-02,NRL,217.0,223.5,217.0,222.3300018310547,173.50357055664062,265500
2015-06-03,NRL,223.8800048828125,233.44000244140625,222.0,229.30999755859375,178.95069885253906,699600
